Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,495,5,0,0,10.0
1,494,6,0,0,20.0
2,493,7,0,0,20.0
3,492,8,0,0,20.0
4,491,9,0,0,20.0
5,491,9,0,0,20.0
6,487,13,0,0,20.0
7,485,15,0,0,20.0
8,481,18,1,0,20.0
9,479,20,1,0,20.0
10,476,23,1,0,30.0
11,475,24,1,0,30.0
12,469,30,1,0,30.0
13,462,37,1,0,30.0
14,451,48,1,1,30.0
15,444,54,1,2,40.0
16,436,61,1,2,60.0
17,432,65,1,2,60.0
18,422,75,1,2,70.0
19,417,79,2,2,60.0
20,406,89,3,2,60.0
21,400,95,3,3,70.0
22,396,97,4,3,60.0
23,387,106,4,5,70.0
24,378,112,5,7,80.0
25,370,115,8,7,80.0
26,354,130,9,9,90.0
27,344,137,10,11,140.0
28,328,150,11,11,150.0
29,319,156,14,12,160.0
30,308,166,14,12,180.0
31,292,177,19,12,170.0
32,276,190,22,13,180.0
33,261,199,27,15,200.0
34,248,207,30,19,210.0
35,239,208,34,21,200.0
36,227,212,40,23,210.0
37,215,218,44,25,230.0
38,201,220,54,26,200.0
39,191,227,56,26,200.0
40,183,231,60,26,200.0
41,170,241,63,27,190.0
42,154,250,69,30,260.0
43,138,260,72,32,250.0
44,127,260,81,32,240.0
45,119,261,88,32,250.0
46,107,263,98,34,270.0
47,100,262,104,34,250.0
48,87,263,116,36,260.0
49,81,251,132,37,230.0
50,76,237,150,37,250.0
51,66,237,160,39,240.0
52,60,232,169,41,260.0
53,53,226,180,42,230.0
54,44,223,191,43,200.0
55,43,208,206,46,190.0
56,39,201,214,46,210.0
57,37,194,223,47,210.0
58,36,182,235,48,200.0
59,32,175,245,48,170.0
60,31,164,257,49,150.0
61,29,157,265,51,170.0
62,29,143,277,51,180.0
63,29,137,283,51,180.0
64,28,128,293,52,170.0
65,26,123,299,52,140.0
66,25,116,307,52,130.0
67,24,108,316,52,110.0
68,24,100,324,53,100.0
69,24,92,331,53,70.0
70,24,80,343,53,60.0
71,24,75,348,53,60.0
72,24,67,356,54,50.0
73,24,61,361,55,30.0
74,23,54,368,56,30.0
75,23,48,373,58,30.0
76,23,46,373,60,30.0
77,23,40,377,60,30.0
78,23,35,382,61,30.0
79,23,30,386,61,10.0
80,23,22,394,61,0.0
81,22,17,400,61,0.0
82,22,15,402,61,0.0
83,22,14,403,61,0.0
84,22,13,404,61,0.0
85,22,12,405,61,0.0
86,22,11,406,61,0.0
87,22,9,408,61,0.0
88,22,7,410,61,0.0
89,21,8,410,61,0.0
90,21,5,413,61,0.0
91,21,5,413,61,0.0
92,21,5,413,61,0.0
93,21,5,413,61,0.0
94,21,5,413,62,0.0
95,21,3,414,62,0.0
96,21,3,414,62,0.0
97,20,4,414,62,0.0
98,20,4,414,62,0.0
99,20,3,415,62,0.0
