Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,496,4,0,0,0.0
1,496,4,0,0,0.0
2,494,6,0,0,0.0
3,494,6,0,0,0.0
4,492,8,0,0,0.0
5,492,8,0,0,0.0
6,486,14,0,0,10.0
7,484,16,0,0,20.0
8,482,18,0,0,20.0
9,479,21,0,0,20.0
10,478,22,0,0,20.0
11,477,23,0,0,20.0
12,474,26,0,0,30.0
13,471,29,0,0,30.0
14,470,30,0,0,40.0
15,470,29,1,0,40.0
16,466,33,1,0,40.0
17,465,34,1,0,50.0
18,461,38,1,0,50.0
19,457,41,2,0,50.0
20,455,42,3,0,50.0
21,452,45,3,0,50.0
22,449,48,3,0,50.0
23,445,51,4,0,50.0
24,441,55,4,0,60.0
25,436,60,4,0,60.0
26,430,63,7,0,70.0
27,428,62,10,0,70.0
28,422,67,11,1,70.0
29,420,67,12,1,20.0
30,420,64,15,1,20.0
31,418,63,18,1,20.0
32,416,63,20,2,20.0
33,414,63,21,2,60.0
34,413,63,22,2,50.0
35,412,62,24,3,50.0
36,409,62,26,4,40.0
37,408,59,29,4,50.0
38,403,62,31,6,60.0
39,394,68,32,7,50.0
40,389,69,35,8,70.0
41,385,70,37,8,70.0
42,382,70,40,8,70.0
43,378,70,44,8,80.0
44,376,70,46,9,80.0
45,373,70,48,9,90.0
46,369,73,49,9,100.0
47,363,79,49,9,100.0
48,355,84,52,9,140.0
49,350,88,53,9,140.0
50,346,86,59,9,140.0
51,340,91,60,9,140.0
52,337,89,65,9,150.0
53,332,89,70,9,150.0
54,329,90,72,9,140.0
55,327,85,79,9,140.0
56,325,83,83,9,140.0
57,322,85,84,10,130.0
58,316,84,90,11,110.0
59,311,86,92,11,110.0
60,301,94,94,11,120.0
61,298,95,96,11,140.0
62,289,103,97,12,140.0
63,283,106,99,15,130.0
64,279,99,107,15,110.0
65,275,101,109,15,100.0
66,272,97,116,18,100.0
67,268,94,120,18,80.0
68,263,97,122,18,80.0
69,260,94,128,18,70.0
70,257,95,130,18,70.0
71,253,91,138,18,60.0
72,251,90,141,19,60.0
73,244,94,143,21,60.0
74,241,91,147,21,90.0
75,238,90,151,21,90.0
76,233,93,153,22,90.0
77,225,95,158,23,100.0
78,222,96,159,24,100.0
79,218,93,165,24,70.0
80,214,89,173,25,80.0
81,212,90,173,25,100.0
82,205,93,177,25,110.0
83,199,96,180,26,110.0
84,198,89,187,26,90.0
85,195,92,187,27,90.0
86,190,92,191,27,100.0
87,186,92,195,28,100.0
88,181,93,198,30,90.0
89,179,92,199,34,90.0
90,177,85,204,35,80.0
91,172,89,204,35,110.0
92,171,88,206,36,110.0
93,164,92,208,36,100.0
94,160,93,211,36,110.0
95,158,92,214,36,110.0
96,151,96,217,36,110.0
97,148,93,223,36,110.0
98,141,93,230,36,110.0
99,136,94,234,38,110.0
