Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,497,3,0,0,0.0
1,496,4,0,0,0.0
2,496,4,0,0,0.0
3,496,4,0,0,0.0
4,495,5,0,0,0.0
5,494,6,0,0,0.0
6,494,6,0,0,0.0
7,493,7,0,0,0.0
8,490,10,0,0,0.0
9,487,13,0,0,10.0
10,486,14,0,0,10.0
11,485,15,0,0,10.0
12,485,15,0,0,10.0
13,484,16,0,0,10.0
14,483,16,1,0,10.0
15,482,17,1,0,10.0
16,476,23,1,0,10.0
17,470,29,1,0,20.0
18,464,35,1,0,20.0
19,458,40,2,0,20.0
20,450,48,2,0,20.0
21,442,56,2,0,30.0
22,438,60,2,0,40.0
23,432,66,2,0,40.0
24,425,73,2,0,60.0
25,415,83,2,0,90.0
26,408,88,4,0,90.0
27,402,93,5,0,90.0
28,393,99,8,3,100.0
29,382,104,11,5,110.0
30,372,111,12,6,90.0
31,365,115,14,10,90.0
32,352,123,15,13,130.0
33,342,127,18,14,150.0
34,334,132,20,15,130.0
35,317,148,20,16,130.0
36,305,156,23,17,140.0
37,296,161,26,18,160.0
38,289,166,27,18,160.0
39,279,172,31,18,180.0
40,271,175,36,20,180.0
41,258,181,41,20,180.0
42,247,185,48,20,220.0
43,234,195,51,24,210.0
44,225,195,56,25,240.0
45,209,210,56,27,230.0
46,197,217,59,29,200.0
47,193,210,68,31,210.0
48,182,212,75,32,210.0
49,171,221,76,33,190.0
50,164,218,85,34,220.0
51,152,219,95,34,230.0
52,148,214,104,38,220.0
53,139,212,111,38,190.0
54,128,214,120,38,200.0
55,121,216,125,39,190.0
56,113,215,133,39,190.0
57,106,215,140,40,210.0
58,100,209,151,44,230.0
59,93,201,162,47,160.0
60,87,198,168,50,220.0
61,85,190,175,50,170.0
62,80,180,190,52,160.0
63,78,174,196,52,170.0
64,74,174,200,53,160.0
65,67,175,205,54,180.0
66,61,172,213,54,160.0
67,56,163,227,54,160.0
68,56,156,234,54,160.0
69,50,151,245,55,150.0
70,48,141,256,55,160.0
71,47,132,266,57,170.0
72,47,121,275,57,130.0
73,45,118,280,57,120.0
74,43,110,290,57,110.0
75,41,102,300,60,100.0
76,37,96,307,60,110.0
77,35,91,314,61,110.0
78,33,80,326,61,60.0
79,32,77,330,62,50.0
80,31,74,333,64,60.0
81,29,68,339,64,70.0
82,29,61,346,64,70.0
83,29,58,349,64,70.0
84,29,54,353,64,60.0
85,28,53,355,64,60.0
86,27,52,357,64,50.0
87,25,48,363,65,50.0
88,24,45,366,65,70.0
89,23,45,367,65,70.0
90,22,44,369,65,60.0
91,21,45,369,65,70.0
92,21,41,373,65,60.0
93,21,37,377,65,50.0
94,21,35,379,65,50.0
95,21,33,381,65,50.0
96,21,31,383,65,50.0
97,21,27,387,65,50.0
98,21,23,391,65,50.0
99,21,18,396,65,40.0
