Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,494,6,0,0,0.0
1,494,6,0,0,0.0
2,493,7,0,0,10.0
3,493,7,0,0,10.0
4,492,8,0,0,10.0
5,491,9,0,0,10.0
6,491,9,0,0,10.0
7,491,9,0,0,10.0
8,489,11,0,1,10.0
9,487,12,0,1,10.0
10,486,13,0,1,10.0
11,486,13,0,1,10.0
12,484,15,0,1,10.0
13,481,18,0,1,20.0
14,480,19,0,1,30.0
15,478,21,0,1,30.0
16,476,22,1,1,30.0
17,475,23,1,1,30.0
18,472,26,1,1,30.0
19,470,28,1,1,30.0
20,468,30,1,1,30.0
21,466,30,3,1,30.0
22,463,33,3,1,30.0
23,458,38,3,1,40.0
24,451,45,3,1,60.0
25,449,45,5,2,50.0
26,445,48,5,2,40.0
27,441,51,6,2,50.0
28,438,54,6,3,60.0
29,438,52,7,4,40.0
30,432,56,8,6,40.0
31,425,59,10,6,50.0
32,422,60,12,6,50.0
33,419,63,12,7,60.0
34,411,68,14,8,70.0
35,407,68,17,8,70.0
36,400,74,18,8,70.0
37,394,78,20,8,80.0
38,388,83,21,8,80.0
39,384,86,22,9,80.0
40,382,87,22,9,90.0
41,370,99,22,11,100.0
42,358,107,24,11,140.0
43,352,111,26,12,160.0
44,344,116,28,14,160.0
45,332,123,31,16,160.0
46,325,126,33,18,150.0
47,314,133,35,20,140.0
48,304,137,39,22,160.0
49,291,142,45,23,160.0
50,278,152,47,24,130.0
51,266,156,54,26,140.0
52,260,154,60,26,170.0
53,252,158,64,26,170.0
54,239,170,65,26,190.0
55,227,178,69,26,180.0
56,216,182,76,26,170.0
57,202,192,80,27,180.0
58,195,192,86,28,160.0
59,187,196,89,28,170.0
60,181,198,93,29,180.0
61,169,205,97,30,190.0
62,157,212,101,32,180.0
63,149,212,107,34,200.0
64,139,216,111,34,190.0
65,137,216,113,35,190.0
66,130,211,124,35,180.0
67,118,215,132,37,200.0
68,113,215,135,39,220.0
69,109,212,140,40,190.0
70,105,208,147,41,190.0
71,99,205,155,41,190.0
72,93,201,165,41,190.0
73,87,199,173,43,180.0
74,83,191,183,44,180.0
75,79,184,193,44,190.0
76,71,182,203,45,190.0
77,69,171,215,46,160.0
78,67,164,223,48,170.0
79,64,157,231,49,210.0
80,62,150,239,50,200.0
81,62,138,250,51,180.0
82,61,129,259,51,170.0
83,58,124,267,51,150.0
84,57,115,277,52,150.0
85,56,109,283,52,130.0
86,53,105,290,53,120.0
87,51,94,302,53,100.0
88,49,91,307,53,100.0
89,45,86,316,53,100.0
90,43,78,326,53,100.0
91,43,74,330,53,90.0
92,43,67,337,53,80.0
93,43,63,341,54,60.0
94,43,55,348,54,50.0
95,42,54,350,54,60.0
96,41,51,354,54,60.0
97,39,48,359,54,50.0
98,39,44,363,54,50.0
99,39,39,368,54,30.0
