Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,495,5,0,0,0.0
1,495,5,0,0,0.0
2,495,5,0,0,0.0
3,494,6,0,0,0.0
4,493,7,0,0,0.0
5,492,8,0,0,0.0
6,492,8,0,0,0.0
7,491,9,0,0,0.0
8,491,9,0,0,0.0
9,490,10,0,0,0.0
10,490,9,1,0,0.0
11,488,11,1,1,0.0
12,487,11,1,1,0.0
13,486,12,1,2,0.0
14,485,12,1,2,0.0
15,482,15,1,2,0.0
16,479,18,1,2,0.0
17,479,18,1,2,0.0
18,477,20,1,2,20.0
19,477,20,1,3,20.0
20,473,23,1,3,10.0
21,470,26,1,3,10.0
22,468,28,1,3,20.0
23,466,30,1,3,20.0
24,465,30,2,3,20.0
25,460,35,2,4,20.0
26,459,35,2,4,30.0
27,453,40,3,4,30.0
28,447,45,4,5,40.0
29,441,50,4,5,60.0
30,434,57,4,5,70.0
31,430,59,6,5,90.0
32,420,68,7,5,90.0
33,413,75,7,7,110.0
34,405,80,8,7,70.0
35,397,87,9,8,80.0
36,390,91,11,8,70.0
37,388,91,13,8,70.0
38,377,102,13,9,70.0
39,373,104,14,9,80.0
40,364,110,17,9,90.0
41,358,114,19,10,90.0
42,351,117,22,10,100.0
43,344,122,24,12,120.0
44,329,133,26,12,140.0
45,325,134,29,14,150.0
46,314,142,30,15,170.0
47,306,144,35,16,150.0
48,300,148,36,18,160.0
49,295,148,39,18,120.0
50,286,155,41,20,120.0
51,280,149,51,22,190.0
52,272,151,55,22,150.0
53,267,149,62,23,140.0
54,264,144,69,24,160.0
55,260,143,73,24,180.0
56,253,144,79,25,180.0
57,248,144,83,27,150.0
58,245,138,90,28,130.0
59,238,141,93,28,90.0
60,232,138,102,30,100.0
61,229,135,106,30,130.0
62,222,135,113,30,140.0
63,219,130,121,31,140.0
64,213,129,127,32,120.0
65,202,134,132,34,110.0
66,199,128,139,35,120.0
67,195,125,145,39,180.0
68,191,111,159,39,110.0
69,190,108,163,43,110.0
70,186,105,166,43,100.0
71,181,107,169,44,100.0
72,175,108,173,45,100.0
73,170,110,175,46,100.0
74,165,106,183,46,110.0
75,159,107,188,46,90.0
76,157,104,193,47,90.0
77,155,101,197,50,80.0
78,152,97,201,50,50.0
79,149,96,205,50,50.0
80,144,94,212,50,50.0
81,143,90,217,50,50.0
82,140,86,224,50,60.0
83,137,89,224,51,70.0
84,134,84,231,51,80.0
85,127,89,233,52,80.0
86,126,84,238,52,80.0
87,125,80,243,53,80.0
88,123,74,250,54,50.0
89,121,71,254,54,50.0
90,120,71,255,54,50.0
91,119,68,259,55,50.0
92,114,67,264,56,60.0
93,113,65,266,56,70.0
94,111,63,270,56,80.0
95,108,60,276,56,80.0
96,107,58,279,56,80.0
97,107,55,282,56,80.0
98,106,50,288,56,80.0
99,104,49,291,57,80.0
