Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,494,6,0,0,0.0
1,492,8,0,1,0.0
2,491,8,0,1,0.0
3,489,10,0,1,0.0
4,486,13,0,1,0.0
5,485,14,0,1,0.0
6,480,19,0,1,0.0
7,477,22,0,1,0.0
8,475,24,0,1,10.0
9,472,27,0,1,10.0
10,472,27,0,1,10.0
11,470,29,0,1,10.0
12,467,32,0,1,10.0
13,462,37,0,1,20.0
14,457,42,0,1,20.0
15,450,48,1,2,40.0
16,444,53,1,2,50.0
17,438,59,1,2,60.0
18,433,62,3,3,70.0
19,424,70,3,3,80.0
20,415,78,4,3,80.0
21,407,85,5,3,100.0
22,399,91,7,4,110.0
23,394,94,8,6,90.0
24,384,101,9,7,60.0
25,373,110,10,9,80.0
26,361,119,11,9,90.0
27,351,127,13,9,110.0
28,343,132,16,10,110.0
29,334,139,17,11,140.0
30,324,146,19,11,190.0
31,314,151,24,14,170.0
32,298,160,28,15,160.0
33,284,172,29,16,140.0
34,273,177,34,16,140.0
35,259,189,36,17,150.0
36,248,194,41,20,180.0
37,241,195,44,20,210.0
38,234,200,46,20,220.0
39,226,203,51,21,230.0
40,218,204,57,23,230.0
41,207,201,69,25,220.0
42,200,201,74,25,220.0
43,190,203,82,25,250.0
44,177,207,91,25,240.0
45,169,206,100,26,250.0
46,163,201,110,28,220.0
47,156,197,119,30,200.0
48,149,196,125,31,220.0
49,137,199,133,31,240.0
50,132,198,139,31,230.0
51,125,200,144,31,250.0
52,116,202,151,37,240.0
53,110,192,161,39,240.0
54,103,193,165,40,220.0
55,97,193,170,41,210.0
56,90,189,180,41,240.0
57,84,182,193,42,240.0
58,78,180,200,44,260.0
59,76,172,208,45,200.0
60,72,166,217,45,190.0
61,68,163,224,45,190.0
62,66,160,229,46,180.0
63,60,154,240,46,170.0
64,55,150,249,46,180.0
65,50,151,253,46,180.0
66,46,145,263,47,180.0
67,45,137,271,49,160.0
68,43,130,278,50,190.0
69,40,120,290,50,140.0
70,40,111,299,51,130.0
71,40,107,302,52,110.0
72,40,101,307,54,110.0
73,40,92,314,54,90.0
74,40,85,321,54,80.0
75,38,80,328,54,80.0
76,35,74,337,55,60.0
77,34,71,340,55,60.0
78,32,70,343,56,60.0
79,31,65,348,56,40.0
80,29,63,352,56,40.0
81,29,57,358,56,40.0
82,29,53,362,57,30.0
83,29,46,368,57,40.0
84,29,41,373,57,30.0
85,29,38,376,57,20.0
86,29,37,377,57,20.0
87,28,35,380,58,20.0
88,28,33,381,58,10.0
89,28,32,382,58,10.0
90,28,29,385,58,10.0
91,28,27,387,58,10.0
92,28,25,389,58,10.0
93,27,20,395,58,10.0
94,26,19,397,58,0.0
95,26,18,398,58,0.0
96,26,14,402,58,0.0
97,26,14,402,58,0.0
98,24,15,403,58,0.0
99,24,11,407,58,0.0
