Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,495,5,0,0,0.0
1,492,8,0,0,0.0
2,489,11,0,0,0.0
3,488,12,0,0,0.0
4,485,15,0,0,0.0
5,483,17,0,0,0.0
6,480,20,0,0,20.0
7,477,23,0,0,20.0
8,473,27,0,1,30.0
9,469,30,0,1,30.0
10,459,40,0,1,40.0
11,451,48,0,1,50.0
12,442,57,0,1,60.0
13,430,69,0,1,60.0
14,419,80,0,1,90.0
15,398,101,0,3,110.0
16,390,106,1,5,140.0
17,379,115,1,5,150.0
18,373,120,2,5,150.0
19,348,142,5,5,160.0
20,340,149,6,6,180.0
21,329,159,6,6,160.0
22,317,170,7,7,170.0
23,301,184,8,8,160.0
24,279,204,9,9,200.0
25,268,208,15,10,200.0
26,252,220,18,10,250.0
27,239,231,20,10,250.0
28,218,246,26,11,280.0
29,192,266,31,16,290.0
30,183,267,34,16,350.0
31,163,284,37,20,380.0
32,152,284,44,23,320.0
33,142,280,55,25,260.0
34,124,292,59,26,300.0
35,116,293,65,28,290.0
36,103,297,72,32,300.0
37,89,306,73,34,350.0
38,82,297,87,36,330.0
39,75,294,95,37,350.0
40,70,291,102,39,320.0
41,63,287,111,40,320.0
42,57,281,122,40,320.0
43,53,274,133,45,310.0
44,48,263,144,48,290.0
45,42,258,152,49,300.0
46,36,248,167,50,270.0
47,34,230,186,51,260.0
48,32,217,200,52,180.0
49,27,208,213,53,220.0
50,24,200,223,53,200.0
51,21,189,237,53,200.0
52,20,179,248,53,180.0
53,18,167,262,53,170.0
54,16,155,276,56,150.0
55,16,145,283,57,160.0
56,15,136,292,59,150.0
57,13,121,307,59,140.0
58,13,102,326,60,130.0
59,13,91,336,60,120.0
60,12,87,341,61,110.0
61,12,81,346,61,100.0
62,12,75,352,63,90.0
63,12,64,361,63,70.0
64,11,56,370,63,50.0
65,11,51,375,64,50.0
66,11,47,378,64,50.0
67,11,39,386,65,40.0
68,11,33,391,65,0.0
69,11,31,393,65,0.0
70,11,27,397,65,0.0
71,11,21,403,65,0.0
72,11,18,406,65,0.0
73,11,18,406,65,0.0
74,11,15,409,65,0.0
75,11,12,412,65,0.0
76,11,9,415,65,0.0
77,11,8,416,65,0.0
78,11,8,416,65,0.0
79,11,6,418,65,0.0
80,11,6,418,65,0.0
81,11,4,420,65,0.0
82,11,3,421,65,0.0
83,11,3,421,65,0.0
84,11,1,423,65,0.0
85,11,0,424,65,0.0
86,11,0,424,65,0.0
87,11,0,424,65,0.0
88,11,0,424,65,0.0
89,11,0,424,65,0.0
90,11,0,424,65,0.0
91,11,0,424,65,0.0
92,11,0,424,65,0.0
93,11,0,424,65,0.0
94,11,0,424,65,0.0
95,11,0,424,65,0.0
96,11,0,424,65,0.0
97,11,0,424,65,0.0
98,11,0,424,65,0.0
99,11,0,424,65,0.0
