Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,497,3,0,0,0.0
1,497,3,0,0,0.0
2,495,5,0,0,0.0
3,495,5,0,0,0.0
4,495,5,0,0,0.0
5,493,7,0,0,0.0
6,492,8,0,0,0.0
7,491,9,0,0,0.0
8,491,9,0,0,0.0
9,489,11,0,0,10.0
10,484,16,0,0,30.0
11,481,19,0,1,30.0
12,478,21,0,1,40.0
13,477,22,0,1,40.0
14,471,28,0,1,50.0
15,462,37,0,1,50.0
16,457,42,0,1,60.0
17,444,54,1,1,70.0
18,434,63,2,1,70.0
19,426,69,4,2,70.0
20,420,73,5,2,60.0
21,413,80,5,2,80.0
22,406,86,6,2,90.0
23,401,91,6,2,90.0
24,383,108,7,3,90.0
25,373,116,8,3,130.0
26,361,127,9,4,130.0
27,345,141,10,5,130.0
28,337,148,10,5,160.0
29,312,172,11,5,190.0
30,292,191,12,6,190.0
31,271,210,13,8,220.0
32,252,223,17,9,250.0
33,237,233,21,11,230.0
34,220,240,29,11,190.0
35,203,255,31,13,210.0
36,184,265,38,13,230.0
37,171,267,49,13,230.0
38,157,277,53,15,240.0
39,145,283,57,15,280.0
40,135,286,64,16,270.0
41,121,295,68,17,280.0
42,111,300,72,20,330.0
43,97,307,76,21,360.0
44,92,304,83,22,350.0
45,83,301,94,23,330.0
46,77,295,105,23,300.0
47,65,292,120,24,290.0
48,58,288,130,25,300.0
49,50,282,143,28,280.0
50,45,274,153,28,270.0
51,42,266,164,30,280.0
52,39,253,178,33,310.0
53,33,247,187,34,290.0
54,32,235,199,34,250.0
55,27,226,213,35,250.0
56,26,210,229,38,190.0
57,26,193,243,38,260.0
58,23,185,254,40,240.0
59,23,173,264,41,170.0
60,22,163,274,42,200.0
61,21,151,286,42,180.0
62,21,142,295,44,180.0
63,20,131,305,46,160.0
64,19,114,321,46,150.0
65,18,102,334,46,140.0
66,18,94,342,46,120.0
67,17,82,355,46,80.0
68,16,76,362,47,80.0
69,14,69,370,47,100.0
70,14,63,376,48,100.0
71,13,58,381,48,80.0
72,13,54,385,48,70.0
73,12,49,391,48,70.0
74,12,41,399,48,60.0
75,12,38,402,48,60.0
76,11,34,407,49,50.0
77,11,25,415,49,30.0
78,11,22,418,49,30.0
79,11,19,421,49,30.0
80,11,17,423,49,20.0
81,11,14,426,49,10.0
82,11,12,428,49,10.0
83,11,11,429,49,10.0
84,11,11,429,50,10.0
85,11,9,430,50,10.0
86,11,7,432,51,0.0
87,11,6,432,51,0.0
88,11,5,433,51,0.0
89,11,5,433,51,0.0
90,11,5,433,51,0.0
91,11,5,433,51,0.0
92,11,4,434,51,0.0
93,11,3,435,51,0.0
94,11,3,435,52,0.0
95,11,2,435,52,0.0
96,11,1,436,52,0.0
97,11,1,436,52,0.0
98,11,1,436,52,0.0
99,11,1,436,52,0.0
