Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,496,4,0,0,10.0
1,494,6,0,0,10.0
2,494,6,0,0,10.0
3,494,6,0,0,10.0
4,493,7,0,0,20.0
5,491,9,0,0,30.0
6,491,9,0,0,30.0
7,490,10,0,0,30.0
8,487,13,0,0,30.0
9,482,18,0,0,30.0
10,479,21,0,0,30.0
11,477,23,0,0,40.0
12,477,23,0,0,40.0
13,475,25,0,1,40.0
14,470,29,0,1,40.0
15,462,37,0,1,50.0
16,457,41,1,1,50.0
17,451,47,1,1,50.0
18,446,52,1,1,60.0
19,440,58,1,1,60.0
20,436,62,1,3,60.0
21,432,62,3,3,70.0
22,424,70,3,4,110.0
23,418,73,5,5,90.0
24,408,81,6,5,80.0
25,402,87,6,5,90.0
26,396,93,6,5,90.0
27,386,103,6,5,100.0
28,381,106,8,5,110.0
29,370,114,11,5,130.0
30,366,118,11,6,130.0
31,364,119,11,8,130.0
32,359,118,15,9,130.0
33,352,121,18,10,150.0
34,343,124,23,10,150.0
35,332,132,26,10,160.0
36,319,142,29,10,160.0
37,307,153,30,10,170.0
38,299,157,34,11,190.0
39,288,160,41,11,150.0
40,278,167,44,14,160.0
41,269,171,46,14,160.0
42,258,177,51,15,180.0
43,250,180,55,16,200.0
44,235,189,60,20,180.0
45,226,192,62,20,210.0
46,216,194,70,21,220.0
47,208,197,74,23,190.0
48,196,203,78,24,210.0
49,188,199,89,26,190.0
50,172,203,99,27,180.0
51,164,201,108,28,170.0
52,161,199,112,30,170.0
53,150,198,122,32,180.0
54,139,200,129,33,200.0
55,129,207,131,33,200.0
56,124,205,138,35,190.0
57,118,204,143,37,200.0
58,108,199,156,39,200.0
59,102,197,162,42,210.0
60,96,192,170,43,180.0
61,89,189,179,43,160.0
62,82,186,189,44,180.0
63,79,183,194,45,200.0
64,73,180,202,45,210.0
65,68,180,207,46,210.0
66,67,169,218,47,180.0
67,65,163,225,48,210.0
68,57,164,231,48,200.0
69,54,160,238,49,200.0
70,53,153,245,50,140.0
71,50,151,249,53,140.0
72,48,141,258,55,130.0
73,45,135,265,56,100.0
74,45,121,278,56,130.0
75,43,112,289,57,120.0
76,41,108,294,59,110.0
77,38,99,304,60,90.0
78,36,92,312,61,80.0
79,36,84,319,61,60.0
80,36,79,324,61,60.0
81,35,77,327,61,70.0
82,34,74,331,61,60.0
83,33,70,336,61,60.0
84,33,64,342,61,60.0
85,33,61,345,61,60.0
86,32,52,355,61,50.0
87,31,50,358,61,50.0
88,30,46,363,61,40.0
89,30,46,363,61,40.0
90,29,43,367,61,40.0
91,29,38,372,61,30.0
92,29,33,377,61,20.0
93,29,28,382,61,20.0
94,29,24,386,61,20.0
95,29,23,387,62,20.0
96,29,20,389,62,20.0
97,29,19,390,62,20.0
98,29,17,392,62,20.0
99,29,14,395,62,20.0
