Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,496,4,0,0,10.0
1,496,4,0,0,10.0
2,495,5,0,0,10.0
3,495,5,0,0,10.0
4,493,7,0,0,10.0
5,492,8,0,0,10.0
6,491,9,0,0,10.0
7,487,12,1,0,10.0
8,486,13,1,0,10.0
9,485,14,1,0,10.0
10,482,17,1,0,10.0
11,481,18,1,0,10.0
12,478,21,1,0,10.0
13,475,24,1,0,20.0
14,469,30,1,0,30.0
15,465,34,1,1,30.0
16,460,38,1,2,20.0
17,454,43,1,3,60.0
18,446,50,1,3,50.0
19,442,54,1,3,70.0
20,434,61,2,5,70.0
21,425,67,3,5,90.0
22,418,74,3,6,100.0
23,413,75,6,6,90.0
24,405,83,6,7,100.0
25,400,85,8,8,90.0
26,394,90,8,9,90.0
27,385,96,10,10,60.0
28,378,100,12,11,50.0
29,372,103,14,11,40.0
30,364,109,16,12,50.0
31,359,112,17,14,70.0
32,352,116,18,15,90.0
33,339,126,20,16,130.0
34,333,130,21,16,140.0
35,327,134,23,16,140.0
36,317,143,24,16,140.0
37,309,149,26,16,140.0
38,300,152,32,16,170.0
39,286,162,36,19,180.0
40,276,165,40,22,180.0
41,263,166,49,24,170.0
42,256,165,55,26,190.0
43,246,168,60,26,210.0
44,238,173,63,28,210.0
45,230,175,67,29,200.0
46,222,175,74,29,200.0
47,214,173,84,29,190.0
48,202,182,87,29,190.0
49,196,184,91,29,190.0
50,183,190,98,30,190.0
51,175,192,103,33,160.0
52,168,188,111,35,180.0
53,157,194,114,37,190.0
54,150,193,120,37,160.0
55,142,193,128,38,160.0
56,136,193,133,40,170.0
57,130,188,142,40,190.0
58,124,188,148,40,210.0
59,115,190,155,41,200.0
60,109,186,164,42,170.0
61,105,184,169,44,190.0
62,102,176,178,46,180.0
63,99,171,184,46,160.0
64,98,168,188,47,160.0
65,93,153,207,48,150.0
66,92,148,212,48,180.0
67,89,145,218,50,180.0
68,84,141,225,52,230.0
69,84,129,235,53,240.0
70,81,127,239,53,190.0
71,77,128,242,54,190.0
72,75,119,252,54,180.0
73,73,116,257,54,180.0
74,70,111,265,55,180.0
75,69,104,272,56,190.0
76,67,97,280,56,160.0
77,63,93,288,57,160.0
78,62,86,295,57,180.0
79,59,77,307,58,180.0
80,59,74,309,59,150.0
81,59,68,314,59,100.0
82,59,64,318,59,100.0
83,59,60,322,59,100.0
84,58,59,324,59,90.0
85,58,50,333,59,80.0
86,55,48,338,60,80.0
87,52,45,343,60,70.0
88,52,43,345,60,70.0
89,52,39,349,60,60.0
90,50,36,354,60,40.0
91,49,34,357,60,40.0
92,49,32,359,61,40.0
93,48,32,359,61,40.0
94,48,31,360,61,40.0
95,47,31,361,61,40.0
96,47,30,362,61,40.0
97,47,27,365,61,30.0
98,47,22,370,61,30.0
99,46,20,373,61,20.0
